used_bands,def_pa_mean,def_pa_sd,def_ua_mean,def_ua_sd,pas_pa_mean,pas_pa_sd,pas_ua_mean,pas_ua_sd,for_pa_mean,for_pa_sd,for_ua_mean,for_ua_sd,def_pa_min,def_pa_max,def_ua_min,def_ua_max
"green,ndvi",0.9240672622175512,0.0024259308082789748,0.9682583039202591,0.0032015757248215725,0.9928430028932541,9.148480920281482e-4,0.9828906225132799,8.098065312356805e-4,0.9240672622175512,0.0024259308082789748,0.9682583039202591,0.0032015757248215725,0.9173420924965445,0.9307924319385578,0.9589584470766951,0.9775581607638233
"blue,green,ndvi",0.9224908039936941,0.0029309395056914137,0.9703458743516017,0.0030351722862490553,0.992614588091975,6.088086489918986e-4,0.9826650416425378,0.0011409147172243253,0.9224908039936941,0.0029309395056914137,0.9703458743516017,0.0030351722862490553,0.9143795097705076,0.9306020982168806,0.9615103736338774,0.979181375069326
"blue,bnir,green,red",0.9183744964091785,0.0029817765691254384,0.9620316544980088,0.004351012187089074,0.9917770671539515,0.0012984030380199059,0.9825033651457842,0.001559087600918911,0.9183744964091785,0.0029817765691254384,0.9620316544980088,0.004351012187089074,0.9101593337439527,0.9265896590744042,0.9494742201387498,0.9745890888572678
"bnir,ndvi",0.918111753371869,0.003363256272584037,0.9741008042237307,0.0049883640456534995,0.9959646718440688,0.0016546940598131362,0.9850891998388387,2.445372903908992e-5,0.918111753371869,0.003363256272584037,0.9741008042237307,0.0049883640456534995,0.9088482180314857,0.9273752887122523,0.9595232959378353,0.988678312509626
"green,rdvi,red,savi",0.918111753371869,0.0035885511622715115,0.970403562038548,0.004872752928987031,0.9942134917009289,0.0011725972918578628,0.9850633479620713,1.737051856030599e-5,0.918111753371869,0.0035885511622715115,0.970403562038548,0.004872752928987031,0.9082276803728957,0.9279958263708423,0.9562179516408796,0.9845891724362164
"green,ndvi,red",0.9171483622350675,0.002767130369237974,0.9636643965861436,0.0038379587577794584,0.992614588091975,0.0010769259296342021,0.9845943157447377,9.575889475017442e-4,0.9171483622350675,0.002767130369237974,0.9636643965861436,0.0038379587577794584,0.9095347549763549,0.92476196949378,0.9525688839548294,0.9747599092174578
ndvi,0.9153091609739009,0.002843265333946547,0.9666336394995944,0.004779708028377121,0.9967260545149993,0.0011725972918579144,0.9843608096967617,0.0011416448459045216,0.9153091609739009,0.002843265333946547,0.9666336394995944,0.004779708028377121,0.9075017605521785,0.9231165613956233,0.9527729597979475,0.9804943192012412
"ndvi,red",0.9150464179365914,0.00227794829280786,0.9641158050185215,0.003253771035435144,0.9932998324958124,0.0016218523225324133,0.9850497964013765,2.4034833967508875e-5,0.9150464179365914,0.00227794829280786,0.9641158050185215,0.003253771035435144,0.9087931326598556,0.9212997032133271,0.9547047687749979,0.973526841262045
"ndvi,rdvi,savi",0.9072517078297425,0.003260555345767422,0.9699598399906132,0.0035080493632252034,0.9971828841175575,8.32748700100043e-4,0.9851071733594603,1.2274878065254258e-5,0.9072517078297425,0.003260555345767422,0.9699598399906132,0.0035080493632252034,0.8983772746119799,0.9161261410475051,0.9597518389935139,0.9801678409877125
bnir,0.6955684007707129,0.007321138802298004,0.8430375077900846,0.009671344965847106,0.8889142683112532,0.004648138315341265,0.8812327785742062,0.005827269727991719,0.6955684007707129,0.007321138802298004,0.8430375077900846,0.009671344965847106,0.6802913423451084,0.7108454591963175,0.8185775881191268,0.8674974274610424
